Algorithm,PublicKeyLength,SecretKeyLength,ClientKeyPairGenerationTime,MessageLength,SignatureLength,SignTime,VerifyTime,CycleTime,NISTLevel
DILITHIUM_2,1184,2800,1705,200000,2044,1080,554,22325,1
DILITHIUM_2,1184,2800,49,400000,2044,3808,3591,77349,1
DILITHIUM_2,1184,2800,108,600000,2044,1565,1421,69810,1
DILITHIUM_2,1184,2800,33,800000,2044,2064,1965,55879,1
DILITHIUM_2,1184,2800,33,1000000,2044,2565,2384,84598,1
DILITHIUM_2,1184,2800,31,1200000,2044,3058,2845,86779,1
DILITHIUM_2,1184,2800,32,1400000,2044,3496,3319,104209,1
DILITHIUM_2,1184,2800,38,1600000,2044,4151,3858,122053,1
DILITHIUM_2,1184,2800,36,1800000,2044,4538,4303,186639,1
DILITHIUM_2,1184,2800,31,2000000,2044,5111,4740,156288,1
DILITHIUM_2,1184,2800,32,2200000,2044,5498,5218,172472,1
DILITHIUM_2,1184,2800,32,2400000,2044,5879,5676,187913,1
DILITHIUM_2,1184,2800,33,2600000,2044,6455,6180,252541,1
DILITHIUM_2,1184,2800,32,2800000,2044,7016,6810,221015,1
DILITHIUM_2,1184,2800,40,3000000,2044,7411,7215,244914,1
DILITHIUM_2,1184,2800,36,3200000,2044,8226,7896,254179,1
DILITHIUM_2,1184,2800,37,3400000,2044,8365,8114,311968,1
DILITHIUM_2,1184,2800,34,3600000,2044,9172,8926,354473,1
DILITHIUM_2,1184,2800,47,3800000,2044,9935,9432,322391,1
DILITHIUM_2,1184,2800,50,4000000,2044,10706,10596,340878,1
DILITHIUM_2,1184,2800,56,4200000,2044,10717,10514,388252,1
DILITHIUM_2,1184,2800,44,4400000,2044,11240,10852,434323,1
DILITHIUM_2,1184,2800,42,4600000,2044,11378,11105,374411,1
DILITHIUM_2,1184,2800,33,4800000,2044,12679,13223,489235,1
DILITHIUM_2,1184,2800,58,5000000,2044,12351,12025,417735,1
DILITHIUM_2,1184,2800,33,5200000,2044,12983,12595,425633,1
