AlgorithmFamily,Variant,ClientKeyPairGenerationTime,SignTime,VerifyTime,CycleTime,MessageLength,SignatureLength
Dilithium,DILITHIUM_2,1705,1080,554,22325,200000,2044
Dilithium,DILITHIUM_2,49,3808,3591,77349,400000,2044
Dilithium,DILITHIUM_2,108,1565,1421,69810,600000,2044
Dilithium,DILITHIUM_2,33,2064,1965,55879,800000,2044
Dilithium,DILITHIUM_2,33,2565,2384,84598,1000000,2044
Dilithium,DILITHIUM_2,31,3058,2845,86779,1200000,2044
Dilithium,DILITHIUM_2,32,3496,3319,104209,1400000,2044
Dilithium,DILITHIUM_2,38,4151,3858,122053,1600000,2044
Dilithium,DILITHIUM_2,36,4538,4303,186639,1800000,2044
Dilithium,DILITHIUM_2,31,5111,4740,156288,2000000,2044
Dilithium,DILITHIUM_2,32,5498,5218,172472,2200000,2044
Dilithium,DILITHIUM_2,32,5879,5676,187913,2400000,2044
Dilithium,DILITHIUM_2,33,6455,6180,252541,2600000,2044
Dilithium,DILITHIUM_2,32,7016,6810,221015,2800000,2044
Dilithium,DILITHIUM_2,40,7411,7215,244914,3000000,2044
Dilithium,DILITHIUM_2,36,8226,7896,254179,3200000,2044
Dilithium,DILITHIUM_2,37,8365,8114,311968,3400000,2044
Dilithium,DILITHIUM_2,34,9172,8926,354473,3600000,2044
Dilithium,DILITHIUM_2,47,9935,9432,322391,3800000,2044
Dilithium,DILITHIUM_2,50,10706,10596,340878,4000000,2044
Dilithium,DILITHIUM_2,56,10717,10514,388252,4200000,2044
Dilithium,DILITHIUM_2,44,11240,10852,434323,4400000,2044
Dilithium,DILITHIUM_2,42,11378,11105,374411,4600000,2044
Dilithium,DILITHIUM_2,33,12679,13223,489235,4800000,2044
Dilithium,DILITHIUM_2,58,12351,12025,417735,5000000,2044
Dilithium,DILITHIUM_2,33,12983,12595,425633,5200000,2044
